timestamp,instance,active_connections,available_connections,current_connections,total_created_connections,total_operations_counter,total_queries_counter,total_queries_time
1662519252,ts-assurance,0,838858,2,52,295,281,57730
1662519252,ts-auth,0,838855,5,55,392,476,32279
1662519252,ts-consign,0,838859,1,32,193,168,51989
1662519252,ts-contacts,0,838855,5,30,211,273,12074
1662519252,ts-food,0,838856,4,20,157,288,21700
1662519252,ts-inside-payment,0,838859,1,31,184,181,19987
1662519252,ts-order,0,838857,3,30,203,287,47997
1662519252,ts-travel,0,838859,1,27,158,144,64270
1662519252,ts-user,0,838855,5,25,182,143,98442
1662519259,ts-assurance,0,838858,2,54,302,298,57923
1662519259,ts-auth,0,838855,5,56,402,476,32279
1662519259,ts-consign,0,838859,1,33,202,185,52113
1662519259,ts-contacts,0,838855,5,31,220,290,12226
1662519259,ts-food,0,838856,4,21,167,288,21700
1662519259,ts-inside-payment,0,838859,1,32,192,181,19987
1662519259,ts-order,0,838856,4,32,218,304,48140
1662519259,ts-travel,0,838859,1,28,167,161,64447
1662519259,ts-user,0,838855,5,27,189,160,98600
1662519266,ts-assurance,0,838858,2,55,310,298,57923
1662519266,ts-auth,0,838855,5,58,412,493,32419
1662519266,ts-consign,0,838859,1,34,210,185,52113
1662519266,ts-contacts,0,838855,5,32,230,290,12226
1662519266,ts-food,0,838856,4,23,179,305,21848
1662519266,ts-inside-payment,0,838859,1,34,201,181,19987
1662519266,ts-order,0,838856,4,34,228,304,48140
1662519266,ts-travel,0,838859,1,30,176,161,64447
1662519266,ts-user,0,838855,5,28,199,160,98600
